Month,MonthName,Year,PoliceRegion,Region,BasicPoliceArea(ABP),District,PenalCodeName,CrimeType,KnownNumber,Solved,Arrests,TotalCrimesPerDistrict
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,De les falsedats,Falsedats documentals,2,1,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,De les lesions,Lesions,2,2,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,10,,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,8,2,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,123,5,3,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,1,,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,9,,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,13,2,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,2,,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,15,,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra la llibertat,Amenaces,,,1,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra l'ordre públic,Desordres públics,1,1,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra l'ordre públic,Organitzacions i grups criminals,1,1,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Barcelona,Barcelona,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,1,1,,2317
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,De l’homicidi i les seves formes,Homicidi temptativa,2,1,1,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,De les falsedats,Falsedats documentals,4,1,1,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,De les falsedats,Falsificació de moneda i efectes timbrats,2,1,,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,De les falsedats,Usurpació de funcions públiques i intrusisme,1,,,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,De les lesions,Lesions,89,63,9,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,121,89,7,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,154,19,2,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,151,22,6,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,2788,540,129,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,25,18,1,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,10,9,7,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,150,24,21,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,117,8,10,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,335,77,87,50436
1,gener,2019,RP Metropolitana Barcelona,Metropolitana Barcelona,ABP Ciutat Vella,Ciutat Vella,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,14,12,3,50436
